2011-09-12 17:15:56 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:24:34 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:28:59 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:30:43 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:38:11 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:42:43 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 17:43:11 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 17:45:15 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:46:59 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:47:25 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 57]
2011-09-12 17:49:48 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 18:58:00 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 18:58:33 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 18:59:30 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 18:59:58 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:00:27 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 91]
2011-09-12 19:00:27 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:00:50 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 91]
2011-09-12 19:00:51 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:02:31 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:02:31 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:03:37 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:04:14 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:04:49 Debug: Notice (8): Undefined variable: params in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:05:55 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:06:07 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 92]
2011-09-12 19:06:51 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:18:39 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:21:44 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 52]
2011-09-12 19:22:04 Debug: Notice (8): Undefined index: Eventos in [D:\xampp\htdocs\sal\app\app_controller.php, line 91]
2011-09-12 19:27:59 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\lotes\index.ctp, line 54]
2011-09-12 19:28:44 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\lotes\index.ctp, line 54]
2011-09-12 19:28:48 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\lotes\index.ctp, line 54]
2011-09-12 19:34:02 Debug: Notice (8): Undefined property: View::$Number in [D:\xampp\htdocs\sal\app\views\lotes\index.ctp, line 50]
2011-09-12 19:35:22 Debug: Notice (8): Undefined property: View::$Number in [D:\xampp\htdocs\sal\app\views\lotes\index.ctp, line 50]
2011-09-13 15:21:04 Debug: Notice (8): Undefined property: View::$Numbers in [D:\xampp\htdocs\sal\app\views\licitacoes\view.ctp, line 71]
2011-09-13 16:05:41 Debug: Notice (8): Undefined property: AuthComponent::$Usuario in [D:\xampp\htdocs\sal\app\controllers\usuarios_controller.php, line 8]
2011-09-13 16:37:31 Debug: Notice (8): Undefined index: id in [D:\xampp\htdocs\sal\app\controllers\usuarios_controller.php, line 12]
2011-09-13 16:37:31 Debug: Notice (8): Undefined index: name in [D:\xampp\htdocs\sal\app\controllers\usuarios_controller.php, line 13]
2011-09-13 16:37:31 Debug: Notice (8): Undefined index: papel in [D:\xampp\htdocs\sal\app\controllers\usuarios_controller.php, line 14]
2011-09-13 17:26:49 Debug: Notice (8): Undefined property: AuthComponent::$user in [D:\xampp\htdocs\sal\app\app_controller.php, line 182]
2011-09-13 17:50:35 Debug: Notice (8): Undefined property: View::$Auth in [D:\xampp\htdocs\sal\app\views\layouts\default.ctp, line 40]
2011-09-13 17:59:02 Debug: Notice (8): Undefined property: View::$user in [D:\xampp\htdocs\sal\app\views\layouts\default.ctp, line 40]
2011-09-13 17:59:53 Debug: Notice (8): Trying to get property of non-object in [D:\xampp\htdocs\sal\app\views\layouts\default.ctp, line 40]
